time,lenthofTweet,NumChar,Capital,Smile,Sad,NumPositiveWords,NumNegativeWords,PositiveScoer,I,You,HeShe,Via,Stock,Question,Exclamation,QuestionExclamation,Userfollowers_count,Userfriends_count,UserrepitationScore,UserJoin_date,UserDescription,Usertweets_count,Userverified,UserNumphoto,UserIsInLargeCity,Ps,Pa,Pp,Qp,Qa,Qs,Hashtag,Menstion,numUrls,Retweets,Isretweet,NumPhotos,Favorites,ContainNEWS,Contain_videos,WotScore,UrlRankIn5000,UrlRank,creditScore
1,30,43,32,33,31,23,34,24,18,35,29,19,42,1,7,15,17,28,10,9,22,12,2,11,0,40,37,41,38,36,39,13,6,20,14,21,3,26,4,27,25,5,16,8
2,35,36,42,33,32,43,34,18,15,26,31,23,40,0,2,21,13,41,16,27,5,10,6,17,1,12,8,19,38,37,39,28,14,9,25,20,3,24,4,30,29,7,22,11
3,38,27,22,33,31,42,43,23,9,28,35,6,37,0,5,15,18,14,21,36,12,10,4,13,3,20,25,34,40,39,41,30,2,11,29,16,1,19,8,24,32,7,26,17
4,25,28,42,34,29,33,41,26,9,22,32,13,39,0,7,10,20,27,23,21,14,2,4,11,6,35,24,43,37,36,38,40,15,5,18,12,3,31,8,30,19,1,17,16
5,40,42,28,31,27,18,43,32,13,10,30,17,39,0,6,11,19,7,35,24,15,14,1,16,3,41,33,34,37,36,38,20,12,8,22,4,2,29,9,26,25,5,23,21
6,18,33,42,34,28,11,43,31,9,13,25,16,35,4,3,15,20,6,21,19,12,0,8,30,1,36,41,27,39,38,40,29,10,17,37,14,2,22,5,26,23,7,32,24
7,28,34,35,31,25,27,43,32,11,15,19,20,40,0,7,21,8,18,4,41,17,6,2,9,3,42,30,39,37,36,38,23,13,10,24,14,5,29,22,26,16,1,33,12
8,31,43,30,33,26,19,42,4,11,18,20,5,35,3,2,13,8,16,12,25,22,15,0,21,6,36,41,32,38,37,39,40,7,10,28,9,14,34,17,27,24,1,29,23
9,41,21,17,34,31,28,40,27,9,10,29,7,30,0,6,5,11,23,18,24,13,15,1,8,3,42,33,39,37,36,38,14,26,12,43,22,4,25,16,32,19,2,35,20
10,35,40,15,33,32,34,43,21,19,24,26,8,30,1,0,11,4,9,20,28,17,3,5,16,10,41,29,39,37,36,38,23,12,6,42,14,7,31,13,25,22,2,27,18
11,20,42,33,35,30,34,43,27,23,14,37,15,28,0,2,19,13,9,11,31,25,4,1,16,5,36,32,29,39,38,40,18,12,6,41,10,7,24,17,22,21,3,26,8
12,37,39,26,29,27,24,43,20,7,19,32,16,23,1,6,9,3,13,10,28,14,4,0,21,12,41,40,30,35,34,36,11,15,8,42,18,5,33,22,17,31,2,38,25
13,28,34,12,36,31,21,43,41,13,15,35,14,38,3,16,4,10,18,5,37,25,6,1,9,26,40,42,23,22,27,24,19,30,2,39,11,7,32,8,17,29,0,33,20
14,28,38,29,37,34,40,43,31,12,24,39,27,33,6,4,9,16,10,3,32,26,2,1,20,5,35,36,17,42,22,7,23,14,15,41,13,11,25,18,19,21,0,30,8
15,42,36,19,39,31,37,38,29,18,26,32,15,35,12,6,0,16,5,9,34,41,1,3,7,24,20,28,27,43,22,25,30,13,10,40,8,11,21,14,17,33,2,23,4
16,34,24,23,39,30,28,41,6,32,29,43,17,33,3,15,0,5,9,7,18,37,2,8,20,14,42,36,25,40,16,31,35,27,12,38,19,10,21,13,11,26,4,22,1
17,40,39,23,31,34,10,29,20,32,22,35,12,33,8,15,0,4,14,6,21,37,3,2,16,9,43,24,7,41,30,42,27,13,19,38,26,11,36,17,18,28,5,25,1
18,21,36,20,33,26,18,42,30,17,29,24,10,31,3,8,0,7,6,4,34,32,1,5,19,13,43,39,40,41,28,37,25,15,23,38,14,22,16,9,12,27,11,35,2
19,19,24,22,27,29,20,36,25,31,23,35,16,30,4,11,0,14,2,10,39,32,1,8,5,13,42,40,33,38,34,43,26,17,18,41,21,6,28,12,15,9,3,37,7
20,20,39,33,32,27,18,21,35,23,22,40,6,30,17,3,0,13,7,15,31,38,2,5,12,19,42,25,37,34,36,43,26,10,11,29,8,14,41,9,16,28,1,24,4
21,19,27,29,32,26,36,40,23,24,14,34,20,28,7,4,0,17,5,1,35,31,2,6,11,12,42,30,13,41,37,43,25,10,8,38,21,15,39,22,16,18,3,33,9
22,28,39,19,31,29,16,27,26,24,18,35,20,34,5,3,0,9,12,7,32,30,4,8,10,11,38,37,33,42,41,43,21,6,36,40,22,14,25,15,13,23,1,17,2
23,35,28,6,30,32,19,37,29,27,25,43,16,31,7,3,0,4,20,15,36,26,2,10,8,9,42,39,14,40,24,41,21,11,12,38,23,17,33,22,13,18,1,34,5
24,36,26,19,33,30,21,40,32,18,15,35,9,25,3,4,0,11,2,7,38,34,10,6,23,8,42,27,24,43,39,41,12,17,28,20,29,16,31,14,13,22,1,37,5
25,25,27,15,38,28,13,20,19,14,16,26,22,30,7,4,0,11,6,3,37,33,2,8,9,17,42,36,35,43,39,40,32,34,29,41,23,10,21,18,12,24,1,31,5
26,18,30,23,41,26,16,35,10,25,7,33,19,38,11,1,0,6,8,3,24,29,2,5,12,27,43,22,21,42,37,39,31,20,15,40,32,9,36,17,14,34,4,28,13
27,30,25,13,38,28,16,31,17,20,18,35,19,32,6,1,0,8,9,3,37,34,5,7,11,22,43,26,33,41,40,42,24,10,15,29,23,21,39,14,12,27,4,36,2
28,25,14,16,39,30,17,37,19,18,12,34,27,33,4,1,0,9,10,8,35,32,6,7,5,23,43,20,31,41,42,40,29,26,21,38,24,28,15,11,13,22,3,36,2
29,27,28,23,39,34,35,24,19,15,10,38,12,31,3,1,0,11,7,2,20,17,4,8,13,18,43,30,33,42,32,41,21,26,25,36,14,9,40,22,16,29,6,37,5
30,28,22,24,40,34,17,29,36,10,12,30,26,33,2,1,0,7,5,3,27,20,4,9,13,19,43,25,21,42,35,41,18,23,15,39,31,11,38,14,16,32,6,37,8
31,27,38,13,40,31,34,30,39,20,8,21,18,36,5,2,0,11,14,1,24,22,3,9,7,17,42,19,29,43,37,41,28,26,16,35,23,25,15,10,12,32,4,33,6
32,32,27,23,40,28,31,20,33,14,17,30,22,37,4,1,0,7,8,2,19,36,6,13,11,12,41,21,39,35,43,38,34,25,24,42,9,10,26,16,15,18,3,29,5
33,41,33,32,40,30,29,24,31,16,5,35,23,37,3,1,0,18,11,2,38,22,4,8,9,17,42,14,26,39,28,36,19,15,10,34,25,20,43,13,12,21,6,27,7
34,26,28,22,42,33,18,16,17,11,7,36,24,35,2,1,0,9,8,3,29,40,5,19,10,23,43,13,41,39,34,32,38,21,20,31,27,12,37,15,14,30,4,25,6
35,38,30,15,43,33,23,24,22,12,5,36,21,35,11,1,0,6,9,4,34,28,3,8,16,17,41,13,25,40,37,39,32,19,20,29,10,26,31,18,14,27,2,42,7
36,26,25,11,41,30,12,33,31,16,4,32,23,37,7,1,0,15,13,3,29,35,10,6,5,20,42,19,43,40,36,38,22,9,18,39,27,14,34,21,17,24,2,28,8
37,20,22,28,42,34,18,33,15,12,8,36,23,37,1,3,0,5,10,4,35,21,2,9,11,13,43,26,25,41,38,40,31,19,29,39,14,27,24,17,16,30,7,32,6
38,17,27,18,41,35,30,19,22,13,9,24,28,39,6,1,0,4,12,5,37,33,3,11,8,10,42,25,23,43,38,40,29,21,26,34,20,14,31,16,15,32,2,36,7
39,23,37,12,40,34,15,17,22,13,8,30,26,41,10,2,0,6,11,4,38,18,1,9,7,29,43,16,31,42,39,33,28,20,19,36,27,24,35,21,14,25,3,32,5
40,19,30,21,32,33,24,29,22,17,6,35,31,41,8,1,0,4,7,2,20,12,5,10,14,11,43,26,36,42,39,38,25,13,40,34,18,15,37,23,16,27,3,28,9
41,33,34,16,26,32,28,40,29,17,7,39,12,35,5,1,0,8,14,2,30,38,6,9,10,13,43,15,36,42,41,24,20,21,19,37,31,18,27,23,11,22,4,25,3
42,15,33,12,23,34,31,25,35,10,6,30,28,38,7,3,0,9,14,5,26,32,2,8,22,18,42,19,37,43,41,29,24,11,20,40,13,16,36,21,17,27,1,39,4
43,12,24,30,26,28,21,20,39,22,6,31,23,41,7,1,0,3,8,9,33,25,5,11,18,16,43,10,35,42,37,38,34,17,27,36,13,15,40,19,14,29,2,32,4
44,41,39,25,32,35,38,22,19,11,7,12,13,37,8,1,0,4,10,2,27,36,5,20,9,28,42,21,31,43,40,30,16,18,29,34,17,23,15,26,14,24,3,33,6
45,31,25,26,24,34,20,28,33,17,12,22,11,27,5,1,0,3,6,4,38,18,7,15,14,21,41,23,39,43,40,42,19,32,30,37,8,13,35,9,16,29,2,36,10
46,22,20,13,30,35,32,11,39,19,10,38,27,33,4,1,0,7,3,6,37,31,5,9,14,16,41,28,29,43,40,42,26,21,24,34,12,17,23,15,18,25,2,36,8
47,16,38,17,23,33,27,26,19,8,11,30,24,35,4,1,0,7,14,3,32,28,6,9,13,12,43,20,34,42,37,31,21,29,25,36,22,10,40,18,15,39,2,41,5
48,35,28,13,27,36,30,29,17,18,10,40,23,21,4,1,0,6,11,2,32,33,8,5,16,14,43,19,38,42,31,39,22,9,26,34,12,20,25,24,15,37,3,41,7
